sku,warehouse,active,marketplace,comment
ПВ1,Ростов,Да,YM,
ПВ1,Ростов-на-Дону-2,Да,YM,
ПВ1,Самара,Да,YM,
ПВ1,Екатеринбург,Да,YM,
ПВ1,ЛО Шушары,Да,YM,
ПВ1,МО Софьино (кроме КГТ) - 2,Нет,YM,временно отключён
ПВ1,Яндекс.Маркет (Домодедово возвратный),Нет,YM,возвратный
ПВ1,Склад 301,Нет,YM,
ПВ2,Ростов,Да,YM,
ПВ2,Ростов-на-Дону-2,Да,YM,
ПВ2,Екатеринбург,Да,YM,
ПВ3,Ростов,Да,YM,
ПВ4,Ростов,Нет,YM,не возим
ПВ4,Екатеринбург,Да,YM,
ЧХ1,Ростов,Да,YM,
ЧХ1,Екатеринбург,Да,YM,
ЧХ1,Самара,Да,YM,
ЧХ2,Ростов,Да,YM,
ЧХ2,МО Софьино (кроме КГТ) - 1,Да,YM,
ЧХ4,Ростов,Нет,YM,
ЧХ4,МО Софьино (кроме КГТ) - 1,Да,YM,
ЧХ5,Ростов,Да,YM,
ЧХ5,Самара,Да,YM,
ЧХ5,МО Софьино (кроме КГТ) - 1,Да,YM,
ЧХ6,Ростов,Да,YM,
ЧХ6,Екатеринбург,Да,YM,
ЧХ6,МО Софьино (кроме КГТ) - 1,Да,YM,
